E,L,srednia_e_ukladu,srednia_magnetyzacja,srednia_e_duszka,temperatura
-184,10,-184.28,0.95714,0.28,1.46686
-176,10,-176.496,0.93072,0.496,1.81458
-168,10,-168.732,0.89648,0.732,2.14325
-160,10,-160.788,0.86288,0.788,2.21684
-152,10,-152.864,0.8227,0.864,2.31476
-144,10,-144.94,0.7847,0.94,2.41074
-136,10,-136.928,0.72166,0.928,2.3957
-128,10,-128.884,0.64148,0.884,2.34019
-120,10,-121.028,0.52686,1.028,2.51983
-112,10,-112.948,0.49138,0.948,2.42074
-104,10,-105.052,0.37404,1.052,2.54925
-96,10,-96.976,0.2971,0.976,2.45562
-88,10,-89.216,0.30218,1.216,2.74694
-80,10,-81.248,0.2566,1.248,2.78492
-72,10,-73.604,0.19916,1.604,3.19749
-64,10,-65.712,0.18254,1.712,3.31976
-56,10,-57.832,0.16964,1.832,3.45438
-48,10,-50.164,0.15084,2.164,3.82129
-40,10,-42.764,0.1332,2.764,4.4696
-32,10,-35.56,0.11916,3.56,5.3113
-24,10,-28.192,0.10346,4.192,5.97033
